NIMI ;OSOITE;POSTINUMERO;POSTITOIMIPAIKKA;KUNTA;LUVANALKUPVM;LUPATYYPPI;Y-TUNNUS
Aavasaksan Paviljonki;Aavasaksanvaarantie 281;95620;Aavasaksa;Ylitornio;01.10.2013;Anniskelu A, kaikki alkoholijuomat;2477826-3
Ab Holms Oy;Kvevlaxvägen 4;66530;Koivulahti;Mustasaari;01.01.1969;Vähittäismyyntilupa/max. 5.5 %;0181002-1
Ab Servicestation Sandholm &;Strandvägen 1521;66100;Maalahti;Maalahti;24.05.1995;Vähittäismyyntilupa/max. 5.5 %;0564040-2
Ab Skärgårdens Handelskompani;Österö 2073;66640;Maksamaa;Vöyri;03.05.1993;Vähittäismyyntilupa/max. 5.5 %;0180966-1
Aburavintola;Kalevan puistotie 11;33500;Tampere;Tampere;01.08.2020;Anniskelu A, kaikki alkoholijuomat;N/A
Ace Corner Finland;Veistämönkatu 1 B;15140;Lahti;Lahti;12.04.2012;Anniskelu A, kaikki alkoholijuomat;2408600-5
Adalar ravintola pizza kebab;Kirkkotie 1;90830;Haukipudas;Oulu;25.02.2019;Ann.lupa sis. vähittäismyynnin;2432997-8
Addis Ethiopian Kitchen;Sturenkatu 28;510;Helsinki;Helsinki;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2759883-1
Adlerfelt;Suomenlinna B 1;190;Helsinki;Helsinki;08.04.2020;Ann.lupa sis. vähittäismyynnin;2684751-7
Adri´s Lounas;Höyläämötie 11 C;380;Helsinki;Helsinki;25.06.2019;Anniskelu A, kaikki alkoholijuomat;2927971-1
Afrodite Taverna;Hämeenkatu 9;20500;Turku;Turku;24.08.2020;Anniskelu A, kaikki alkoholijuomat;N/A
Ahjokadun Kebab;Ahjokatu 14-16;40320;Jyväskylä;Jyväskylä;16.03.2020;Anniskelu A, kaikki alkoholijuomat;2988846-1
Ahjon Paja;Terästie 2;4220;Kerava;Kerava;01.08.2018;Anniskelu A, kaikki alkoholijuomat;2538756-3
Ahkionlahden Kanava Kahvila;Pielavedentie 642;71760;Ahkionlahti;Kuopio;10.05.2019;Anniskelu A, kaikki alkoholijuomat;N/A
Ahkun Tupa;Lemmenjoentie 1030;99885;Lemmenjoki;Inari;22.06.1988;Anniskelu A, kaikki alkoholijuomat;0429947-6
Ahlaisten Kievari;Merikarvian rantatie 779;29700;Ahlainen;Pori;16.11.1990;Anniskelu A, kaikki alkoholijuomat;0204361-0
Ahlmanin ammattiopisto;Hallilantie 24;33820;Tampere;Tampere;01.09.2007;Anniskelu A, kaikki alkoholijuomat;0155402-1
Ahmon Golfklubi;Kotaniementie 84;74140;Iisalmi;Iisalmi;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0952417-7
Ahtialan Krouvi;Laitumenkatu 6;15300;Lahti;Lahti;19.06.2018;Anniskelu A, kaikki alkoholijuomat;1801936-7
Ahveniston toimintapuisto;Olympiakatu 18-20;13130;Hämeenlinna;Hämeenlinna;27.11.2018;Ann.lupa sis. vähittäismyynnin;2676451-9
Ahvenlampi Camping;Ahvenlammentie 62;43100;Saarijärvi;Saarijärvi;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2612802-9
Aikalisä Sport & Music Bar;Ankkarinraitti  2;33700;Tampere;Tampere;29.12.2011;Anniskelu A, kaikki alkoholijuomat;0722541-3
Aikon Kartano;Muikunlahdentie 165;44500;Viitasaari;Viitasaari;18.03.2017;Anniskelu A, kaikki alkoholijuomat;2701166-6
Ailin;Mestarintie 1;15550;Nastola;Lahti;01.02.2019;Anniskelu A, kaikki alkoholijuomat;2962619-7
Aino ja Onni;Yrjönkatu 10, liikeh. M 8;28100;Pori;Pori;03.07.2020;Anniskelu A, kaikki alkoholijuomat;3003676-8
Ainoa Winery;Rekolanpolku 65;15700;Lahti;Lahti;18.06.2019;Tilaviinin vähittäismyynti;2587625-2
Ainoa Winery;Rekolanpolku 65;15700;Lahti;Lahti;19.06.2019;Anniskelu A, kaikki alkoholijuomat;2587625-2
Air Cafe;Lentokentäntie;87100;Kajaani;Kajaani;01.06.2002;Anniskelu A, kaikki alkoholijuomat;N/A
Airhotel/Airmotel;Lentokentäntie 5;3100;Nummela;Vihti;19.08.2008;Anniskelu A, kaikki alkoholijuomat;2195722-3
Airikkala/ Kauppa;Airikkalantie 48;1860;Perttula;Nurmijärvi;11.11.2019;Vähittäismyyntilupa/max. 5.5 %;2244459-3
Airisto Strandhamn, Meriasema;Västermälö;21600;Parainen;PARAINEN;30.07.2001;Vähittäismyyntilupa/max. 5.5 %;0627606-7
Airport Hotel Oulu;Vihiluoto 10;90440;Kempele;Kempele;23.07.1999;Anniskelu A, kaikki alkoholijuomat;1509304-3
Airport Hotel Pilot;Veromäentie 1;1510;Vantaa;Vantaa;16.01.2017;Anniskelu A, kaikki alkoholijuomat;1495017-0
Airport Hotel Skyline;Elannontie 9;1510;Vantaa;Vantaa;01.01.1993;Anniskelu A, kaikki alkoholijuomat;0998589-7
Aitiopaikka/Virastotalo;Itsenäisyydenaukio 2;20800;Turku;Turku;28.03.2013;Anniskelu A, kaikki alkoholijuomat;1896229-1
Aito Grilli;Pernontie 27;21260;Raisio;Raisio;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2616838-9
Aito Grilli;Pernontie 27;21260;Raisio;Raisio;19.05.2014;Vähittäismyyntilupa/max. 5.5 %;2616838-9
Aitolahden TB-Huoltamon kahvio;Kaitavedentie 95;33680;Tampere;Tampere;01.03.2018;Anniskelu A, kaikki alkoholijuomat;N/A
Aitolahden Tb-Huolto;Kaitavedentie 95;33680;Tampere;Tampere;22.04.1993;Vähittäismyyntilupa/max. 5.5 %;N/A
Aitoleipä Keskustori;Keskustori 7;33100;Tampere;Tampere;12.05.2020;Määräaikainen A, kaikki alkoholijuomat;2048211-5
Aitoon Vapaaehtoinen Palokunta Ry;Honkalantie 4;36720;Aitoo;Pälkäne;27.03.2019;Anniskelulupa ilman toimipaikkaa;1450745-1
Aitta Pub;Niemistenkatu 7;74700;Kiuruvesi;Kiuruvesi;01.07.2020;Määräaikainen A, kaikki alkoholijuomat;2644478-5
Ajito & Sushi Ravintola;Kaivokatu 7;13100;Hämeenlinna;Hämeenlinna;19.06.2017;Anniskelu A, kaikki alkoholijuomat;2828191-6
Akaan Keilahalli;Hallamäentie 3;37800;Akaa;Akaa;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2770974-9
Aki Järvelä Oy;Puumalantie 166;69600;Kaustinen;Kaustinen;01.08.2019;Anniskelulupa ilman toimipaikkaa;1949282-6
Akix Kaffe ja Piffi Ravintola;Mäntynummentie 46;8500;Lohja;Lohja;12.05.2015;Anniskelu A, kaikki alkoholijuomat;2559077-2
Akix Kaffe ja Piffi Ravintola;Mäntynummentie 46;8500;Lohja;Lohja;12.05.2015;Vähittäismyyntilupa/max. 5.5 %;2559077-2
Akselin Tupa;Uusi Littoistentie 48;20660;Littoinen;Kaarina;01.12.2019;Anniskelu A, kaikki alkoholijuomat;3095108-5
Akselinpoika;Olavinkatu 33;57130;Savonlinna;Savonlinna;16.02.1976;Vähittäismyyntilupa/max. 5.5 %;N/A
Alahovin Viinikartano;Alahovintie 236;71130;Kortejoki;Kuopio;16.05.1995;Anniskelu A, kaikki alkoholijuomat;0171079-2
Alahovin Viinitila Oy;Alahovintie 236;71130;Kortejoki;Kuopio;20.06.1995;Tilaviinin vähittäismyynti;0171079-2
Alajärven Ankkurit, Kitron stadion;Hirsikankaantie 3;62900;Alajärvi;Alajärvi;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0177616-9
Alakioski;Kauppakuja 1;14200;Turenki;Janakkala;29.07.2010;Vähittäismyyntilupa/max. 5.5 %;N/A
Alakulttuurikeskus Loukko;Castreninkatu 7 LH 10;530;Helsinki;Helsinki;13.11.2019;Anniskelu A, kaikki alkoholijuomat;2890070-5
Alakylän Toivola;Seurantie 14;90910;Kontio;Oulu;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0603057-7
Alan Pizzeria Pub;Porrastie 1;40640;Jyväskylä;Jyväskylä;13.06.2007;Anniskelu A, kaikki alkoholijuomat;N/A
Alan kauppaisa;Porrastie 1;40640;Jyväskylä;Jyväskylä;22.11.2017;Vähittäismyyntilupa/max. 5.5 %;N/A
Alans Café;Raatihuoneentori 4;10900;Hanko;Hanko;01.03.2018;Anniskelu A, kaikki alkoholijuomat;N/A
Alandica Kultur- och kongresshus;Strandgatan 31;22100;Mariehamn;Maarianhamina;11.02.2009;Anniskelu A, kaikki alkoholijuomat;0655776-6
Alapitkän Eväskori;Alapitkäntie 41;71910;Alapitkä;Lapinlahti;14.01.2005;Vähittäismyyntilupa/max. 5.5 %;0859294-4
Alapitkän Nuorisoseuran Talo;Alapitkä;71910;Alapitkä;Lapinlahti;01.03.2018;Anniskelu A, kaikki alkoholijuomat;0172119-2
Alastaro Golf;Golfkentäntie 195;32560;Virttaa;Loimaa;21.05.2020;Ann.lupa sis. vähittäismyynnin;1969907-7
Alastaron kyläyhdistys ry;Alasenjoentie 67;32440;Alastaro;Loimaa;15.04.2020;Anniskelulupa ilman toimipaikkaa;2386748-3
Alaverdi;Snellmaninkatu 16 lk 6;170;Helsinki;Helsinki;04.03.2019;Anniskelu A, kaikki alkoholijuomat;2965691-9
Alavus Bowling;Asematie 5 A;63400;Alavus As;Alavus;01.03.2018;Anniskelu A, kaikki alkoholijuomat;2732907-6
Albatross;Rådhusgatan 43;64260;Kaskinen;Kaskinen;19.04.2000;Anniskelu A, kaikki alkoholijuomat;1090177-7
Albatrossi;Lapinlahdenpolku 8,Venetsia ra;180;Helsinki;Helsinki;03.06.2020;Määräaikainen A, kaikki alkoholijuomat;N/A
Alberga NCC Business Park;Bertel Jungin aukio;2600;Espoo;Espoo;16.10.2012;Anniskelu A, kaikki alkoholijuomat;0986855-1
Alcatraz;Eerikinkatu 3;100;Helsinki;Helsinki;21.05.1993;Anniskelu A, kaikki alkoholijuomat;1025227-9
Ale Bar Pikajuna;Hämeenkatu 5;33100;Tampere;Tampere;06.04.2018;Ann.lupa sis. vähittäismyynnin;1018746-2
Ale Bar Pikajuna;Mikonkatu 15;100;Helsinki;Helsinki;27.03.2018;Ann.lupa sis. vähittäismyynnin;2837745-9
Ale Pub Hällän Kellari;Hämeenkatu 25;33200;Tampere;Tampere;06.04.2018;Ann.lupa sis. vähittäismyynnin;1018746-2
Ale Pub Mexas;Härkitie 8;37100;Nokia;Nokia;26.02.2014;Anniskelu A, kaikki alkoholijuomat;2438801-1
Ale Pupi;Kauppakatu 16;70100;Kuopio;Kuopio;01.09.2011;Anniskelu A, kaikki alkoholijuomat;2393622-3
Ale Pupi;Kauppalaispiha 1;40100;Jyväskylä;Jyväskylä;27.03.2018;Ann.lupa sis. vähittäismyynnin;2487602-3
Aleksanterin Teatteri;Bulevardi 23-27;180;Helsinki;Helsinki;23.10.2015;Anniskelu A, kaikki alkoholijuomat;1575649-2
Aleksanterin Tuoppi;Pyynikintori 6;33230;Tampere;Tampere;01.07.2019;Anniskelu A, kaikki alkoholijuomat;2916903-7
Alenka Home Food;Neljäs linja 17-19;510;Helsinki;Helsinki;05.04.2019;Anniskelu A, kaikki alkoholijuomat;N/A
Alepa 0222-042 Porvoonkatu;Porvoonkatu 22;510;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa 0222-045 Hesperiankatu;Pohjoinen Hesperiankatu 5;260;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa 0222-046 Kuulakuja;Kuulakuja 5;1280;Vantaa;Vantaa;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa 0222-047 Pohjolankatu;Pohjolankatu 43;610;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa 0222-048 Vallila;Mäkelänkatu 11;550;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa 0222-049 Viikki;Norkkokuja 3;710;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa 0222-051 Kontulankaari;Kontulankaari 8;940;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa 0222-052 Koskela;Antti Korpintie 3;600;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa 0222-054 Roihuvuori;Roihuvuorentie 26;820;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa 0222-055 Rajatorppa;Nuijatie 12;1650;Vantaa;Vantaa;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa 0222-057 Sturenkatu;Sturenkatu 27;510;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa 0222-057 Tapanila;Liiketie 4;730;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa 0222-059 Kirstintie;Kirstintie 19;2760;Espoo;Espoo;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa 0222-061 Kallio;Castreninkatu 9-11;530;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa 0222-064 Pasilanraitio;Esterinportti 1;240;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa 0222-065 Perämiehenkatu;Perämiehenkatu 10;150;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa 0222-066 Sturenkatu 40;Sturenkatu 40;550;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa 0222-067 Vartiokylä;Vartiokyläntie 3;950;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa 0222-070 Munkkiniemi;Munkkiniemen Puistotie 20;330;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa 0222-075 Karakallio;Karakallionkatu 10;2620;Espoo;Espoo;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa 144 Soukka;Soukantie 4;2360;Espoo;Espoo;26.08.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Ahjo;Kerananpolku 1;4220;Kerava;Kerava;04.10.2018;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Aurinkolahti;Aurinkolahden Puistotie 2;990;Helsinki;Helsinki;03.09.2015;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Caloniuksenkatu;Runeberginkatu 28;100;Helsinki;Helsinki;13.12.2007;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Eliel;Elielinaukio 5;100;Helsinki;Helsinki;22.03.2006;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Erätori;Kettutie 2;800;Helsinki;Helsinki;25.10.2007;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Etelä-Haaga;Kauppalantie 40;320;Helsinki;Helsinki;02.04.2020;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Forum;Mannerheimintie 20;100;Helsinki;Helsinki;17.04.2009;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Haikala;Ojaniituntie 1;1820;Klaukkala;Nurmijärvi;02.04.2009;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Havukoski;Eteläinen Rastitie 5;1360;Vantaa;Vantaa;21.10.2016;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Helsinginkatu;Helsinginkatu 18;530;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Herttoniemi;Hiihtomäentie 14;810;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Hiekkaharju;Leinikkitie 22;1350;Vantaa;Vantaa;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Hyvinkää;Uudenmaankatu 70;5830;Hyvinkää;Hyvinkää;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Hämeentie;Hämeentie 25;500;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Ilola;Koivukylänväylä 66;1390;Vantaa;Vantaa;03.12.2008;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Iso-Roobertinkatu;Iso Roobertinkatu 21-25;120;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Jollas;Jollaksentie 33;850;Helsinki;Helsinki;17.03.2016;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Joosepinkuja;Joosepinkuja 1;2230;Espoo;Espoo;14.04.2016;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Jousenpuisto;Jousenpuistonkatu 2;2200;Espoo;Espoo;07.03.2019;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Jätkäsaari;Välimerenkatu 6;220;Helsinki;Helsinki;24.08.2017;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Kalasatama;Leonkatu 21;540;Helsinki;Helsinki;08.12.2016;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Kaleva;Kalevankatu 31;4230;Kerava;Kerava;13.10.2016;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Kampin keskus;Urho Kekkosen katu 1;100;Helsinki;Helsinki;11.12.2014;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Kamppi;Salomonkatu 19;100;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Kannelmäki;Vanhaistentie 1 A;420;Helsinki;Helsinki;28.03.2019;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Kartanonkoski;Hagelstamintie 32;1520;Vantaa;Vantaa;15.11.2012;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Katajanokka;Merisotilaantori 1;160;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Keilaniemi;Keilaniementie 1;2150;Espoo;Espoo;05.03.2020;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Kellokoski;Vanha Valtatie 191;4500;Kellokoski;Tuusula;10.04.2017;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Kerava;Lintulammenkatu 2 A;4200;Kerava;Kerava;31.10.2019;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Kilo;Kilonkuja 3 A;2610;Espoo;Espoo;12.12.2014;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Kisahalli;Mannerheimintie 76;250;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Kivenlahti;Merivirta 5;2320;Espoo;Espoo;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Kivistö ;Kannistontie 1;1700;Vantaa;Vantaa;03.11.2016;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Klaukkala;Myllärintie 8;1800;Klaukkala;Nurmijärvi;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Kluuvi;Aleksanterinkatu 9;100;Helsinki;Helsinki;04.10.2012;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Kruununhaka;Kirkkokatu 2;170;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Kruunuvuorenranta;Henri Borgströmin tie 2;840;Helsinki;Helsinki;19.09.2019;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Kulosaari;Kyösti Kallion tie 2;570;Helsinki;Helsinki;21.06.2006;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Kuusitie;Mannerheimintie 152;270;Helsinki;Helsinki;07.04.2016;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Käpylä;Koskelantie 19;610;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Laajalahti;Kirvuntie 22;2140;Espoo;Espoo;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Lehtisaari;Lehtisaarentie 2;340;Helsinki;Helsinki;22.10.2015;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Leinelä;Primavera 4;1340;Vantaa;Vantaa;07.09.2017;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Lentoasema;Helsinki-Vantaan Lentoasema T2;1530;Vantaa;Vantaa;15.12.2011;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Leppävaara;Läkkisepänkuja 3;2600;Espoo;Espoo;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Liisankatu;Liisankatu 14;170;Helsinki;Helsinki;10.11.2011;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Lintuvaara;Linnuntie 2;2660;Espoo;Espoo;01.10.2009;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Länsimäki;Kilpakuja 1;1280;Vantaa;Vantaa;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Malmin Nova;Malminkaari 13-19;700;Helsinki;Helsinki;10.09.2020;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Malminkartano;Puustellinkuja 2;410;Helsinki;Helsinki;04.12.2008;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Mankkaa;Mankkaanaukio 2;2180;Espoo;Espoo;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Mannerheimintie;Mannerheimintie 102;250;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Martinlaakso;Laajaniityntie 2;1620;Vantaa;Vantaa;12.04.2018;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Maunula;Metsäpurontie 23;630;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Mechelininkatu;Mechelininkatu 5;100;Helsinki;Helsinki;12.06.2008;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Mellunmäki;Mellunmäentie 12;970;Helsinki;Helsinki;14.02.2019;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Metsolantie;Metsolantie 1;4200;Kerava;Kerava;02.03.2006;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Mikkola;Venuksentie 4;1480;Vantaa;Vantaa;04.02.2016;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Munkkiniemi;Solnantie 35;330;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Nissas;Nissaksentie 1;1200;Vantaa;Vantaa;06.04.2006;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Otaniemi;Otaniementie 12;2150;Espoo;Espoo;30.08.2018;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Pajamäki;Pajamäentie 14;360;Helsinki;Helsinki;14.01.2016;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Paloheinä;Pakilantie 95;670;Helsinki;Helsinki;15.11.2007;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Pellonkulma;Laurilantie 35;4430;Järvenpää;Järvenpää;03.01.2007;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Peltokuumolantie;Peltokuumolantie 2;5800;Hyvinkää;Hyvinkää;07.12.2005;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Pietarinkatu;Pietarinkatu 12;140;Helsinki;Helsinki;19.05.2016;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Pihlajisto;Salpausseläntie 11;710;Helsinki;Helsinki;29.03.2006;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Pikku-Huopalahti;Mannerheimintie 170;300;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Pohjois-Haaga;Näyttelijäntie 14;400;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Puistola;Puistolanraitti 11;760;Helsinki;Helsinki;30.05.2006;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Pukinmäki;Säterintie 2;720;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Puotila;Klaavuntie 11;910;Helsinki;Helsinki;25.02.2016;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Päiväkumpu;Laurintie 84;1420;Vantaa;Vantaa;26.05.2016;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Riihikallio;Haukantie 2;4320;Tuusula;Tuusula;13.09.2006;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Runeberginkatu;Runeberginkatu 58;260;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Ruoholahdenkatu;Ruoholahdenkatu 23;180;Helsinki;Helsinki;18.10.2012;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Sello;Leppävaarankatu 3-9;2600;Espoo;Espoo;31.01.2019;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Siltamäki;Jalopeurantie 4;740;Helsinki;Helsinki;10.09.2015;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Sitratori;Sitratie 7;420;Helsinki;Helsinki;05.04.2006;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Suvela;Sokinsuontie 4;2760;Espoo;Espoo;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Tapaninkylä;Kotinummentie 68;730;Helsinki;Helsinki;09.06.2011;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Teerisuontie;Teerisuontie 27;700;Helsinki;Helsinki;14.05.2020;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Tripla;Pasilan asema-aukio 1;520;Helsinki;Helsinki;17.10.2019;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Tuomarila;Pitkännotkontie 27;2750;Espoo;Espoo;03.03.2016;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Tuomarinkylä;Ohrahuhdantie 8;680;Helsinki;Helsinki;01.11.2005;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Töölöntori;Töölöntorinkatu 6;260;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Ullanlinna;Vuorimiehenkatu 29;140;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Viertola;Osmankäämintie 7;1300;Vantaa;Vantaa;12.01.2017;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Vihdintie;Vihdintie 7;320;Helsinki;Helsinki;16.06.2016;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Viherlaakso;Kuusiniementie 1;2710;Espoo;Espoo;23.05.2006;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Viherniemenkatu;Viherniemenkatu 9;530;Helsinki;Helsinki;01.01.2004;Vähittäismyyntilupa/max. 5.5 %;1837957-3
Alepa Viikinmäki;Hernepellontie 20;710;Helsinki;Helsinki;11.10.2018;Vähittäismyyntilupa/max. 5.5 %;1837957-3
